Code,Pro_name,Unit_price
0001,KSCOWRNI,44.39
0002,BMIVTOMU,16.75
0003,DMBNQEQE,65.74
0004,FTSNCQQR,15.43
0005,PQFBELZH,100.26
0006,SPNPKSKT,110.48
0007,HORZFPRA,87.69
0008,CSPWYSZS,57.84
0009,PVRCVIKE,19.16
0010,BUNNGIJS,117.36
0011,ALXUGSQO,73.41
0012,SZOHREGQ,93.35
0013,KYCOATGL,4.02
0014,PDDAQXEV,26.33
0015,GRWWPBIZ,47.37
0016,ZHANHXVN,72.67
0017,JDHLLRNN,28.11
0018,POYAKTED,44.42
0019,EIDOYMPE,48.61
0020,HVUJRBFD,40.09
0021,QIGFBHWZ,103.67
0022,AINSEHXP,4.14
0023,TTXCHCOU,68.2
0024,OLEEXTHW,71.7
0025,NWAQERDQ,33.28
0026,BDSXKNFQ,106.12
0027,AGKNRDAV,33.45
0028,SWIQRFIQ,120.27
0029,TNLWSATQ,23.99
0030,JIFMMSHK,18.17
0031,LFDLAEOV,45.81
0032,MHKVHJHM,55.26
0033,RINFBOSX,51.69
0034,HUDXJNIN,19.05
0035,XZRLQAEI,24.63
0036,VAWDJZEU,8.96
0037,BYINTDAL,48.75
0038,ZMILCXWA,12.09
0039,LYFKEWMY,81.6
0040,BRHMFZUH,96.56
0041,RPFSDGWT,104.17
0042,DCXIFHZA,113.81
0043,MZDAURZV,85.36
0044,YQRVJKYH,35.72
0045,SSJUKYWN,18.06
0046,JSAGZWQW,57.84
0047,KNNQZFNB,93.47
0048,FVMXVTZF,110.66
0049,LULNGSGU,32.18
0050,IICYGXMH,94.35
0051,WXWNYRKL,15.18
0052,AVXXAQJT,20.32
0053,SWRWESDU,71.83
0054,GJBCXLGS,43.98
0055,XOBAINYO,53.11
0056,EYJXWANL,1.5
0057,ZSRDTBZN,50.97
0058,TCFZUDAQ,52.28
0059,FGNMFXMY,109.33
0060,CSXBNPIG,15.85
0061,MBEUDXWN,71.06
0062,LPJFEBAR,42.08
0063,CTTXVAVD,67.16
0064,ASBAWIRC,12.34
0065,KYTUIFAV,81.61
0066,IWGRDAFA,50.61
0067,PXWFMPYI,34.43
0068,IRMPYEEW,46.91
0069,RKYYTHCR,87.46
0070,QBVYYRME,54.38
0071,DSRJHISR,98.81
0072,PPEOZPQV,16.46
0073,PGCNIONG,83.33
0074,ZVHGOPLF,97.29
0075,FZKBPMHW,44.75
0076,VCZUZZFX,105.56
0077,XRKZEWXO,66.4
0078,KHKMXQQV,52.0
0079,OTHHPUZZ,90.69
0080,VINXZZKA,40.69
0081,ROCFBOCM,84.87
0082,LUBRXRQR,9.57
0083,GMQWHALW,92.5
0084,KSBHJRQX,117.63
0085,MFFXOTHN,75.53
0086,GGUDRZZR,74.16
0087,WAUXYYMK,34.41
0088,RXMWLVLX,8.11
0089,OSBUIZPL,64.56
0090,NYGNRFTI,79.52
0091,RIGQRXMM,62.53
0092,DKTINHQT,54.4
0093,QMDVQOYV,53.03
0094,MZXEGKJK,115.7
0095,NPIDJXWQ,86.75
0096,QUQSCMCY,4.7
0097,FSZEPPNL,51.24
0098,CAJRWBKH,27.81
0099,RTNXOZDI,59.48
0100,THNPQKCV,56.66
0101,NZADEJQD,39.5
0102,RCRYAIOA,13.93
0103,OBNAVMVE,82.76
0104,OSMEXXHN,86.71
0105,CFANBVRR,80.03
0106,GTFKONKQ,20.66
0107,URIGYSTZ,117.55
0108,YXEQVLOB,32.18
0109,JTZTUKVT,11.34
0110,YIAIEZKB,93.15
